,Host,CID_Host,Guest,CID_Guest,pH,T,DeltaG,Erreur,K,logK,Reference,Original_Value,Drop
2533,alpha-cyclodextrin,444913,CC(=O)OC1=CC=CC=C1C(=O)O,,7.0,298.0,-10.76,,77,4.34,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2534,alpha-cyclodextrin,444913,NC1=CC=C(C=CC(=O)O)C=C1,,7.0,298.0,-16.58,,807,6.69,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2535,alpha-cyclodextrin,444913,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,7.0,298.0,-7.77,,23,3.14,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2536,alpha-cyclodextrin,444913,ClCCl,,7.0,298.0,-8.26,,28,3.33,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,True
2537,alpha-cyclodextrin,444913,CN1C(=O)SC2=CC([C@H](C3=CC=CC=C3)N3C=CN=C3)=CC=C21,,7.0,299.0,-5.72,,10,2.3,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2538,alpha-cyclodextrin,444913,CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,,7.2,300.0,-16.37,,708,6.56,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2539,alpha-cyclodextrin,444913,CCCCC[C@H](O)C=C[C@H]1[C@@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,,7.2,300.0,-16.37,,708,6.56,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2540,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCCCCC,,7.0,298.0,-14.31,,322,5.77,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2541,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCCCCCC,,7.0,298.0,-14.47,,344,5.84,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2542,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCCCCCCC,,7.0,298.0,-14.65,,370,5.91,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2543,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,C1CCCCC1,,7.0,298.0,-18.75,,1933,7.57,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2544,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCC,,7.0,298.0,-9.74,,51,3.93,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2545,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,C1=CC=CC=C1,,7.0,298.0,-14.4,,334,5.81,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2546,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1CCCCC1,,7.0,298.0,-18.14,,1512,7.32,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2547,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCC,,7.0,298.0,-11.46,,102,4.62,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2548,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=CC=C1,,7.0,298.0,-15.44,,508,6.23,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2549,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCC1=CC=CC=C1,,7.0,298.0,-17.57,,1202,7.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2550,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=C(C)C=C1,,7.0,298.0,-16.63,,821,6.71,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2551,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=CC(C)=C1,,7.0,298.0,-15.48,,518,6.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2552,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=CC=C1C,,7.0,298.0,-16.12,,669,6.51,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2553,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCC1CCCCC1,,7.0,298.0,-20.15,,3409,8.13,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2554,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCCC,,7.0,298.0,-12.92,,184,5.21,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2555,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=C(C)C(C)=C1,,7.0,298.0,-16.77,,869,6.77,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2556,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC(C)=CC(C)=C1,,7.0,298.0,-10.76,,77,4.34,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2557,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CC1=CC=CC(C)=C1C,,7.0,298.0,-15.59,,541,6.29,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2558,"Acetyl-beta-cyclodextrin, Monoacetyl-beta-cyclodextrin",71311707,CCCCCCCCC,,7.0,298.0,-14.13,,300,5.7,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2559,beta-cyclodextrin,444041,CC(C)[C@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-19.43,,2830,7.95,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2560,beta-cyclodextrin,444041,CC(C)[C@@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-19.77,,3260,8.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2561,beta-cyclodextrin,444041,CSCC[C@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-17.56,,1320,7.19,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2562,beta-cyclodextrin,444041,CSCC[C@@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-18.77,,2160,7.68,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2563,beta-cyclodextrin,444041,CC(C)C[C@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-18.12,,1660,7.41,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2564,beta-cyclodextrin,444041,CC(C)C[C@@H](NC1=CC=C([N+](=O)[O-])C=C1[N+](=O)[O-])C(=O)O,,6.0,294.0,-18.76,,2150,7.67,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2565,beta-cyclodextrin,444041,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,,7.0,294.0,-13.88,,293,5.68,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2566,beta-cyclodextrin,444041,O=C(NC(CC1=CC=CC=C1)C(=O)O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,,6.5,295.0,-9.22,,43,3.76,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2567,beta-cyclodextrin,444041,C1=CC=C(NC2=CC=CC=C2)C=C1,,7.0,295.0,-13.19,,217,5.38,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2568,beta-cyclodextrin,444041,CCCCCCCCCCCCO,,7.0,295.0,-11.31,,101,4.61,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2569,beta-cyclodextrin,444041,CCCCCCCCCCCCCCO,,7.0,295.0,-13.0,,200,5.3,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2570,beta-cyclodextrin,444041,O=C(N[C@H](C(=O)O)C1=CC=CC=C1)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,,6.5,295.0,-13.64,,260,5.56,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2571,beta-cyclodextrin,444041,O=C(N[C@@H](C(=O)O)C1=CC=CC=C1)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,,6.5,295.0,-12.46,,161,5.08,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2572,beta-cyclodextrin,444041,O=C(N[C@@H](CCC1=CC=CC=C1)C(=O)O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,,6.5,295.0,-15.11,,473,6.16,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2573,beta-cyclodextrin,444041,O=C(N[C@H](CCC1=CC=CC=C1)C(=O)O)C1=CC([N+](=O)[O-])=CC([N+](=O)[O-])=C1,,6.5,295.0,-15.04,,460,6.13,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2574,beta-cyclodextrin,444041,CSC,,7.0,295.0,-6.99,,17,2.85,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2575,beta-cyclodextrin,444041,NCCCCN,,7.0,295.0,-9.0,,39,3.67,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2576,beta-cyclodextrin,444041,O=C(O)CCC(=O)O,,7.0,295.0,-7.54,,22,3.07,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2577,beta-cyclodextrin,444041,CCCC(=O)O,,7.0,295.0,-11.75,,120,4.79,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2578,beta-cyclodextrin,444041,CC(C)C(=O)O,,7.0,295.0,-13.01,,202,5.31,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2579,beta-cyclodextrin,444041,CCCCC(=O)O,,7.0,295.0,-12.88,,191,5.25,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2580,beta-cyclodextrin,444041,CC(C)CC(=O)O,,7.0,295.0,-13.04,,204,5.32,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2581,beta-cyclodextrin,444041,NCCCCCN,,7.0,295.0,-9.17,,42,3.74,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2582,beta-cyclodextrin,444041,C1=CC=NC=C1,,7.0,295.0,-9.8,,54,3.99,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2583,beta-cyclodextrin,444041,OC1=CC=C(Cl)C=C1,,7.0,295.0,-13.99,,300,5.7,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2584,beta-cyclodextrin,444041,OC1=CC=CC=C1,,7.0,295.0,-10.03,,60,4.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2585,beta-cyclodextrin,444041,CC1=CC=CN=C1,,7.0,295.0,-8.5,,32,3.47,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2586,beta-cyclodextrin,444041,CC1=CC=CC(O)=C1,,7.0,295.0,-11.84,,125,4.83,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2587,beta-cyclodextrin,444041,C1=CC=C2NC=CC2=C1,,7.0,295.0,-12.54,,166,5.11,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2588,beta-cyclodextrin,444041,O=C(O)CC1=CC=CC=C1,,7.0,295.0,-11.45,,106,4.67,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2589,beta-cyclodextrin,444041,C=CCC1=CC=CC=C1N,,7.0,295.0,-12.31,,151,5.02,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2590,beta-cyclodextrin,444041,CC1=CNC2=CC=CC=C12,,7.0,295.0,-12.48,,162,5.09,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2591,beta-cyclodextrin,444041,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,,7.0,296.0,-13.1,,205,5.32,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2592,beta-cyclodextrin,444041,CCCN1C(=O)C2=CC=C(N)C=C2C1=O,,7.0,296.0,-15.19,,480,6.17,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2593,beta-cyclodextrin,444041,NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)O,,7.4,296.0,-10.66,,76,4.33,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2594,beta-cyclodextrin,444041,NCC(=O)N[C@H](CC1=CC=CC=C1)C(=O)O,,7.4,296.0,-10.35,,67,4.2,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2595,beta-cyclodextrin,444041,N[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)O,,7.4,296.0,-9.95,,57,4.04,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2596,beta-cyclodextrin,444041,NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)O,,7.4,296.0,-11.36,,101,4.62,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2597,beta-cyclodextrin,444041,CN=C(C)C1=CC(C)=C(C)C=C1O,,7.0,296.0,-16.06,,682,6.52,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2598,beta-cyclodextrin,444041,CC(C)(C)N1C(=O)C2=CC=C(N)C=C2C1=O,,7.0,296.0,-19.78,,3100,8.04,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
2599,beta-cyclodextrin,444041,CC(C)CN1C(=O)C2=CC=C(N)C=C2C1=O,,7.0,296.0,-17.83,,1400,7.24,"Mizera, M.; Muratov, E.N.; Alves, V.M.; Tropsha, A.; Cielecka-Piontek, J. Computer-Aided Discovery of New Solubility-Enhancing Drug Delivery System. Biomolecules 2020, 10, 913. https://doi.org/10.3390/biom10060913",logK,False
